customer_id,var3,var4,var5,var6,lapsed_next_period
553547,3.0,0.34,0.0,0.0,0
213578,3.0,0.11,0.0,0.0,0
906135,3.0,0.05,0.0,0.0,0
226782,2.0,0.01,0.0,0.0,0
103600,2.0,0.33,1.0,0.0,0
83215,3.0,0.17,1.0,1.0,0
803468,1.0,0.3,0.0,0.0,0
564987,3.0,0.01,1.0,0.0,0
771218,2.0,0.27,1.0,0.0,0
358731,3.0,0.22,0.0,1.0,0
844109,2.0,0.0,0.0,0.0,0
791012,1.0,0.04,0.0,1.0,0
819552,3.0,0.13,0.0,1.0,0
458656,3.0,0.01,0.0,0.0,0
198947,3.0,0.05,0.0,0.0,0
591628,2.0,0.04,0.0,1.0,0
732350,3.0,0.01,0.0,0.0,0
823270,3.0,0.26,0.0,1.0,0
616293,3.0,0.0,0.0,0.0,0
946800,3.0,0.22,0.0,0.0,0
852093,3.0,0.03,0.0,0.0,0
3463,3.0,0.01,0.0,1.0,0
790108,2.0,0.08,0.0,0.0,0
300246,1.0,0.25,1.0,0.0,0
552188,1.0,0.21,1.0,1.0,0
345479,3.0,0.01,0.0,0.0,0
50620,3.0,0.01,0.0,0.0,0
31845,3.0,0.01,0.0,0.0,0
452442,3.0,0.01,1.0,1.0,0
11843,3.0,0.01,0.0,0.0,0
731200,2.0,0.03,0.0,0.0,0
809772,3.0,0.06,1.0,0.0,0
856748,3.0,0.03,0.0,0.0,0
466312,3.0,0.14,0.0,1.0,0
342200,3.0,0.0,0.0,0.0,1
229904,3.0,0.13,0.0,1.0,0
797503,2.0,0.06,0.0,1.0,0
217273,3.0,0.1,0.0,0.0,0
249576,1.0,0.07,0.0,0.0,0
505392,3.0,0.03,1.0,0.0,0
695349,3.0,0.0,0.0,0.0,0
928799,2.0,0.08,1.0,0.0,0
466499,3.0,0.0,0.0,0.0,0
569252,2.0,0.12,0.0,0.0,0
923919,3.0,0.07,0.0,0.0,0
936668,3.0,0.02,0.0,0.0,0
683008,2.0,0.03,1.0,0.0,0
147792,3.0,0.21,0.0,0.0,1
16548,2.0,0.0,0.0,0.0,0
923681,2.0,0.13,1.0,1.0,0
471660,3.0,0.01,0.0,0.0,0
140182,3.0,0.03,1.0,0.0,0
724133,3.0,0.28,0.0,0.0,0
972101,3.0,0.07,0.0,1.0,0
29157,3.0,0.02,0.0,0.0,0
597606,2.0,0.15,0.0,0.0,0
472212,3.0,0.04,0.0,1.0,0
42900,3.0,0.01,0.0,0.0,0
513463,3.0,0.28,0.0,1.0,0
52823,3.0,0.01,0.0,1.0,0
839433,3.0,0.0,0.0,0.0,0
987231,3.0,0.23,0.0,0.0,0
584393,3.0,0.0,0.0,1.0,0
746210,2.0,0.02,0.0,1.0,0
807381,3.0,0.11,0.0,1.0,0
554830,3.0,0.0,0.0,0.0,0
827106,1.0,0.18,1.0,1.0,0
964641,3.0,0.2,0.0,0.0,0
690909,2.0,0.14,0.0,1.0,0
386009,3.0,0.11,0.0,0.0,0
173225,3.0,0.12,0.0,0.0,0
502970,3.0,0.29,0.0,0.0,0
911974,3.0,0.0,0.0,0.0,0
998174,3.0,0.0,0.0,0.0,0
43544,3.0,0.02,0.0,0.0,0
599100,3.0,0.0,0.0,0.0,0
102989,3.0,0.0,0.0,1.0,0
795797,3.0,0.06,0.0,0.0,0
304448,1.0,0.23,0.0,1.0,0
124387,2.0,0.17,1.0,0.0,0
593095,3.0,0.2,0.0,0.0,0
277967,3.0,0.12,1.0,0.0,0
773359,2.0,0.0,0.0,0.0,0
994801,2.0,0.36,1.0,1.0,0
589581,2.0,0.01,0.0,0.0,0
457599,2.0,0.14,0.0,0.0,0
73768,2.0,0.05,0.0,1.0,0
668473,1.0,0.1,0.0,0.0,0
976633,3.0,0.29,0.0,0.0,0
190755,3.0,0.36,0.0,0.0,0
742963,3.0,0.0,0.0,0.0,0
218785,3.0,0.03,0.0,0.0,0
281330,3.0,0.16,1.0,1.0,0
764697,1.0,0.44,0.0,0.0,1
921295,1.0,0.49,0.0,0.0,0
710595,2.0,0.25,1.0,1.0,0
660581,2.0,0.14,1.0,1.0,0
505642,1.0,0.12,0.0,0.0,0
607960,3.0,0.1,0.0,1.0,0
452071,2.0,0.26,0.0,0.0,0
196403,2.0,0.17,0.0,0.0,0
452690,3.0,0.14,0.0,0.0,0
583623,3.0,0.03,0.0,0.0,0
358347,1.0,0.49,1.0,1.0,0
708560,3.0,0.05,0.0,0.0,0
71661,3.0,0.0,0.0,0.0,0
944571,3.0,0.13,0.0,0.0,0
29850,3.0,0.0,0.0,0.0,0
14113,3.0,0.01,0.0,0.0,0
190162,2.0,0.05,0.0,0.0,0
583424,3.0,0.01,1.0,0.0,0
524853,3.0,0.29,0.0,1.0,0
730042,3.0,0.07,1.0,0.0,0
646104,3.0,0.05,0.0,0.0,0
767511,2.0,0.0,0.0,0.0,0
895384,2.0,0.37,1.0,1.0,0
719349,1.0,0.29,0.0,0.0,0
903657,3.0,0.1,0.0,0.0,0
430415,3.0,0.19,0.0,0.0,0
263528,3.0,0.01,0.0,1.0,0
738613,3.0,0.15,1.0,0.0,0
388644,1.0,0.31,1.0,1.0,0
270948,3.0,0.11,0.0,0.0,0
832265,3.0,0.03,1.0,0.0,0
705752,3.0,0.05,1.0,0.0,0
236348,3.0,0.11,0.0,1.0,0
318660,2.0,0.1,0.0,0.0,0
606265,2.0,0.06,1.0,0.0,0
365897,3.0,0.17,0.0,1.0,0
116152,3.0,0.0,0.0,0.0,0
55253,3.0,0.01,0.0,0.0,0
856002,3.0,0.04,0.0,0.0,0
677542,3.0,0.06,0.0,0.0,0
