customer_id,var3,var4,var5,var6,lapsed_next_period,order_id,product_id,product_type_id,designer_id,gross_spend,net_spend,item_returned,quote_spend_returned,quote_var1,quote_var2
553547,3.0,0.34,0.0,0.0,0,53,78,24,43,74.59199999999998,56.542999999999985,12,0.24196964821964825,0.573170731707317,0.573170731707317
213578,3.0,0.11,0.0,0.0,0,364,921,62,256,550.9739999999996,469.6240000000001,146,0.14764762039587997,0.7362428842504743,0.0
906135,3.0,0.05,0.0,0.0,0,146,535,45,153,825.1340000000009,237.76499999999996,437,0.7118468030647147,0.11257309941520467,0.6812865497076024
226782,2.0,0.01,0.0,0.0,0,76,190,25,75,53.47999999999996,35.107,36,0.3435489902767385,0.0,0.49282296650717705
103600,2.0,0.33,1.0,0.0,0,72,199,29,85,178.5660000000001,84.78400000000002,115,0.5251951659330445,0.35319148936170214,0.225531914893617
83215,3.0,0.17,1.0,1.0,0,24,78,21,43,61.014,23.348999999999993,26,0.617317337004622,0.036585365853658534,0.0
803468,1.0,0.3,0.0,0.0,0,29,122,26,55,58.021999999999984,44.217999999999996,37,0.23790975836751563,0.8923076923076924,0.023076923076923078
564987,3.0,0.01,1.0,0.0,0,243,415,45,170,295.521,198.46100000000015,112,0.32843689619350186,0.031078610603290677,0.5868372943327239
771218,2.0,0.27,1.0,0.0,0,46,146,36,86,73.30999999999999,50.648,34,0.3091256308825534,0.2974683544303797,0.006329113924050633
358731,3.0,0.22,0.0,1.0,0,56,74,19,32,87.848,30.994000000000007,60,0.6471860486294508,0.40625,0.0
844109,2.0,0.0,0.0,0.0,0,22,51,22,31,26.956000000000007,26.685000000000006,1,0.010053420388781745,0.0,0.05660377358490566
791012,1.0,0.04,0.0,1.0,0,31,166,30,92,68.02400000000006,56.68900000000004,12,0.16663236504763032,0.0,0.861878453038674
819552,3.0,0.13,0.0,1.0,0,42,198,35,112,73.96900000000004,52.058000000000014,16,0.2962186862063839,0.11004784688995216,0.0
458656,3.0,0.01,0.0,0.0,0,12,84,21,30,90.55699999999996,41.77699999999999,24,0.538666254403304,0.0,0.3023255813953488
198947,3.0,0.05,0.0,0.0,0,10,68,30,56,41.650000000000006,26.659999999999993,12,0.3599039615846341,0.6470588235294118,0.27941176470588236
591628,2.0,0.04,0.0,1.0,0,191,264,41,60,120.94900000000008,106.56200000000008,24,0.11895096280250346,0.13405797101449277,0.8188405797101449
732350,3.0,0.01,0.0,0.0,0,348,741,58,232,1084.5409999999997,388.9320000000002,462,0.641385618432129,0.30857142857142855,0.552
823270,3.0,0.26,0.0,1.0,0,32,124,24,74,173.0139999999999,104.01300000000002,55,0.39881743673922293,0.034013605442176874,0.2789115646258503
616293,3.0,0.0,0.0,0.0,0,32,84,23,50,80.25300000000001,72.472,7,0.09695587703886482,0.6588235294117647,0.27058823529411763
946800,3.0,0.22,0.0,0.0,0,58,154,24,80,120.614,48.431,100,0.598462865007379,0.11695906432748537,0.005847953216374269
852093,3.0,0.03,0.0,0.0,0,101,268,31,111,258.30800000000016,244.04800000000023,10,0.055205413692181134,0.4624624624624625,0.5375375375375375
3463,3.0,0.01,0.0,1.0,0,57,229,20,109,575.369,148.00300000000004,169,0.7427685537455093,0.10588235294117647,0.3176470588235294
790108,2.0,0.08,0.0,0.0,0,17,57,18,39,24.035000000000004,9.447,32,0.606948200540878,0.0,0.9122807017543859
300246,1.0,0.25,1.0,0.0,0,59,164,29,79,59.528000000000006,47.312000000000005,22,0.20521435290955517,0.20224719101123595,0.08426966292134831
552188,1.0,0.21,1.0,1.0,0,152,376,48,128,106.35900000000018,58.88000000000002,116,0.44640321928562776,0.15212527964205816,0.8120805369127517
345479,3.0,0.01,0.0,0.0,0,96,368,43,150,366.8469999999999,202.8879999999999,115,0.44694109533402226,0.4014962593516209,0.03740648379052369
50620,3.0,0.01,0.0,0.0,0,80,105,25,52,98.942,27.27799999999999,92,0.7243031270845547,0.04430379746835443,0.0
31845,3.0,0.01,0.0,0.0,0,17,40,15,34,35.449,25.956,2,0.26779316764929895,0.6097560975609756,0.0975609756097561
452442,3.0,0.01,1.0,1.0,0,109,123,24,65,297.18200000000013,85.169,170,0.7134113102408627,0.09734513274336283,0.048672566371681415
11843,3.0,0.01,0.0,0.0,0,76,318,35,115,602.8910000000002,141.98899999999998,195,0.7644864494576964,0.46153846153846156,0.02564102564102564
731200,2.0,0.03,0.0,0.0,0,68,171,34,83,131.34799999999993,84.58799999999991,43,0.3560008526966535,0.05042016806722689,0.4411764705882353
809772,3.0,0.06,1.0,0.0,0,98,224,32,85,214.81200000000004,45.45600000000001,177,0.7883917099603374,0.6536964980544747,0.019455252918287938
856748,3.0,0.03,0.0,0.0,0,100,249,28,82,289.86499999999995,92.68799999999999,136,0.6802373518706984,0.5054545454545455,0.5345454545454545
466312,3.0,0.14,0.0,1.0,0,153,502,40,170,502.71999999999986,174.54500000000004,356,0.6527987746658178,0.12171052631578948,0.0
342200,3.0,0.0,0.0,0.0,1,6,35,14,28,51.855999999999995,48.879999999999995,5,0.057389694538722606,0.0,0.0
229904,3.0,0.13,0.0,1.0,0,141,252,51,131,130.35500000000008,62.07000000000002,115,0.5238387480342144,0.0,0.0
797503,2.0,0.06,0.0,1.0,0,17,66,21,47,18.96300000000001,15.051000000000004,12,0.20629647207720325,0.2537313432835821,0.5522388059701493
217273,3.0,0.1,0.0,0.0,0,14,48,14,36,122.58000000000001,72.17700000000002,18,0.41118453255017123,0.0,0.8793103448275862
249576,1.0,0.07,0.0,0.0,0,60,131,34,63,36.169999999999995,35.702999999999996,2,0.012911252419131845,0.375,0.0
505392,3.0,0.03,1.0,0.0,0,22,37,16,27,28.371999999999993,23.339999999999993,4,0.17735795855068381,0.65,0.0
695349,3.0,0.0,0.0,0.0,0,12,42,12,24,38.008,34.107,3,0.10263628709745325,0.0,0.813953488372093
928799,2.0,0.08,1.0,0.0,0,119,153,45,74,73.426,36.627,61,0.5011712472421213,0.07407407407407407,0.06584362139917696
466499,3.0,0.0,0.0,0.0,0,14,33,17,18,27.392999999999997,22.766000000000002,3,0.16891176577957856,0.14285714285714285,0.3142857142857143
569252,2.0,0.12,0.0,0.0,0,166,335,34,144,182.46900000000002,77.18599999999996,161,0.576991160142271,0.008021390374331552,0.4679144385026738
923919,3.0,0.07,0.0,0.0,0,26,54,21,34,40.35100000000001,27.201999999999998,20,0.32586552997447427,0.13636363636363635,0.10606060606060606
936668,3.0,0.02,0.0,0.0,0,138,455,49,231,446.2700000000003,125.41500000000013,257,0.7189705783494296,0.005988023952095809,0.0
683008,2.0,0.03,1.0,0.0,0,56,111,31,65,57.058999999999955,56.50199999999995,1,0.009761825478890316,0.01694915254237288,0.9745762711864406
147792,3.0,0.21,0.0,0.0,1,42,154,37,76,62.729000000000084,55.840000000000074,12,0.10982161360774124,0.2598870056497175,0.8192090395480226
16548,2.0,0.0,0.0,0.0,0,16,34,21,31,28.501000000000005,17.143,4,0.39851233290060006,0.0,0.9722222222222222
923681,2.0,0.13,1.0,1.0,0,20,36,17,27,40.43799999999999,15.501000000000001,25,0.6166724368168552,0.5581395348837209,0.046511627906976744
471660,3.0,0.01,0.0,0.0,0,55,135,20,66,124.70799999999998,64.398,63,0.4836097122879045,0.2302158273381295,0.19424460431654678
140182,3.0,0.03,1.0,0.0,0,24,100,25,76,91.52100000000007,84.54800000000006,3,0.07619016400607519,0.18627450980392157,0.11764705882352941
724133,3.0,0.28,0.0,0.0,0,52,126,28,44,101.80500000000008,92.4820000000001,7,0.09157703452679114,0.3710691823899371,1.0
972101,3.0,0.07,0.0,1.0,0,54,178,28,95,167.62100000000004,110.22300000000001,67,0.34242726150064734,0.2717391304347826,0.5760869565217391
29157,3.0,0.02,0.0,0.0,0,29,60,22,45,30.557,26.724999999999998,4,0.1254049808554505,0.0,0.9016393442622951
597606,2.0,0.15,0.0,0.0,0,90,208,45,106,97.04200000000004,83.14999999999999,25,0.14315451041816993,0.10869565217391304,0.004347826086956522
472212,3.0,0.04,0.0,1.0,0,18,47,14,30,44.33,11.288000000000004,35,0.7453643131062485,0.0,1.0
42900,3.0,0.01,0.0,0.0,0,44,135,28,78,87.41499999999996,36.25200000000001,70,0.5852885660355771,0.04285714285714286,0.45
513463,3.0,0.28,0.0,1.0,0,135,211,30,100,368.29799999999994,307.14799999999997,20,0.16603402679352042,0.4766355140186916,0.0794392523364486
52823,3.0,0.01,0.0,1.0,0,40,176,35,87,145.64300000000006,47.57399999999999,74,0.6733519633624687,0.11602209944751381,0.027624309392265192
839433,3.0,0.0,0.0,0.0,0,45,59,17,42,83.916,82.458,2,0.017374517374517357,0.3559322033898305,0.3728813559322034
987231,3.0,0.23,0.0,0.0,0,35,84,30,55,37.109,27.905999999999995,17,0.24799913767549667,0.02247191011235955,0.0
